id,name,kind,inputs,output,matrix_flops,scalar_flops,special_ops,input_bytes,output_bytes,weight_bytes,notes,nonpadding_matrix_flops,normalization_vectors,normalization_width
0,post_quant,conv2d,"[""latent""]",post_quant,33554432,524288,{},1048576,1048576,2112,"Dense same-padding slots, FMA=2; bias additions separate.",33554432,,
1,decoder.input,conv2d,"[""post_quant""]",decoder.input,4831838208,8388608,{},1048576,16777216,295936,"Dense same-padding slots, FMA=2; bias additions separate.",4781637632,,
2,mid.residual0.norm1,groupnorm,"[""decoder.input""]",mid.residual0.norm1,0,58720288,"{""rsqrt"": 32}",16777216,16777216,2048,"Biased-variance two-pass mathematical algorithm, 32 groups; kernel reduction algorithm/workspace unspecified.",,32,262144
3,mid.residual0.silu1,silu,"[""mid.residual0.norm1""]",mid.residual0.silu1,0,8388608,"{""sigmoid"": 8388608}",16777216,16777216,0,,,,
4,mid.residual0.conv1,conv2d,"[""mid.residual0.silu1""]",mid.residual0.conv1,77309411328,8388608,{},16777216,16777216,4719616,"Dense same-padding slots, FMA=2; bias additions separate.",76506202112,,
5,mid.residual0.norm2,groupnorm,"[""mid.residual0.conv1""]",mid.residual0.norm2,0,58720288,"{""rsqrt"": 32}",16777216,16777216,2048,"Biased-variance two-pass mathematical algorithm, 32 groups; kernel reduction algorithm/workspace unspecified.",,32,262144
6,mid.residual0.silu2,silu,"[""mid.residual0.norm2""]",mid.residual0.silu2,0,8388608,"{""sigmoid"": 8388608}",16777216,16777216,0,,,,
7,mid.residual0.conv2,conv2d,"[""mid.residual0.silu2""]",mid.residual0.conv2,77309411328,8388608,{},16777216,16777216,4719616,"Dense same-padding slots, FMA=2; bias additions separate.",76506202112,,
8,mid.residual0.add,residual_add,"[""decoder.input"", ""mid.residual0.conv2""]",mid.residual0.add,0,8388608,{},33554432,16777216,0,,,,
9,mid.residual0.divide_by_one,residual_rescale,"[""mid.residual0.add""]",mid.residual0.divide_by_one,0,8388608,{},16777216,16777216,0,Pinned source divides by output_scale_factor=1; retained as source operation.,,,
10,mid.attention.norm,groupnorm,"[""mid.residual0.divide_by_one""]",mid.attention.norm,0,58720288,"{""rsqrt"": 32}",16777216,16777216,2048,"Biased-variance two-pass mathematical algorithm, 32 groups; kernel reduction algorithm/workspace unspecified.",,32,262144
