id,name,kind,inputs,output,matrix_flops,scalar_flops,special_ops,input_bytes,output_bytes,weight_bytes,notes,nonpadding_matrix_flops,normalization_vectors,normalization_width
0,post_quant,conv2d,"[""latent""]",post_quant,8388608,131072,{},524288,524288,4224,"Dense same-padding slots, FMA=2; bias additions separate.",8388608,,
1,decoder.input,conv2d,"[""post_quant""]",decoder.input,1207959552,2097152,{},524288,8388608,591872,"Dense same-padding slots, FMA=2; bias additions separate.",1182924800,,
2,mid.residual0.norm1,groupnorm,"[""decoder.input""]",mid.residual0.norm1,0,14680096,"{""rsqrt"": 32}",8388608,8388608,4096,"Biased-variance two-pass mathematical algorithm, 32 groups; kernel reduction algorithm/workspace unspecified.",,32,65536
3,mid.residual0.silu1,silu,"[""mid.residual0.norm1""]",mid.residual0.silu1,0,2097152,"{""sigmoid"": 2097152}",8388608,8388608,0,,,,
4,mid.residual0.conv1,conv2d,"[""mid.residual0.silu1""]",mid.residual0.conv1,19327352832,2097152,{},8388608,8388608,9439232,"Dense same-padding slots, FMA=2; bias additions separate.",18926796800,,
5,mid.residual0.norm2,groupnorm,"[""mid.residual0.conv1""]",mid.residual0.norm2,0,14680096,"{""rsqrt"": 32}",8388608,8388608,4096,"Biased-variance two-pass mathematical algorithm, 32 groups; kernel reduction algorithm/workspace unspecified.",,32,65536
6,mid.residual0.silu2,silu,"[""mid.residual0.norm2""]",mid.residual0.silu2,0,2097152,"{""sigmoid"": 2097152}",8388608,8388608,0,,,,
7,mid.residual0.conv2,conv2d,"[""mid.residual0.silu2""]",mid.residual0.conv2,19327352832,2097152,{},8388608,8388608,9439232,"Dense same-padding slots, FMA=2; bias additions separate.",18926796800,,
8,mid.residual0.add,residual_add,"[""decoder.input"", ""mid.residual0.conv2""]",mid.residual0.add,0,2097152,{},16777216,8388608,0,,,,
9,mid.residual0.divide_by_one,residual_rescale,"[""mid.residual0.add""]",mid.residual0.divide_by_one,0,2097152,{},8388608,8388608,0,Pinned source divides by output_scale_factor=1; retained as source operation.,,,
10,mid.attention.norm,groupnorm,"[""mid.residual0.divide_by_one""]",mid.attention.norm,0,14680096,"{""rsqrt"": 32}",8388608,8388608,4096,"Biased-variance two-pass mathematical algorithm, 32 groups; kernel reduction algorithm/workspace unspecified.",,32,65536
11,mid.attention.q,linear_1x1,"[""mid.attention.norm""]",mid.attention.q,2147483648,2097152,{},8388608,8388608,1050624,,,,
12,mid.attention.k,linear_1x1,"[""mid.attention.norm""]",mid.attention.k,2147483648,2097152,{},8388608,8388608,1050624,,,,
13,mid.attention.v,linear_1x1,"[""mid.attention.norm""]",mid.attention.v,2147483648,2097152,{},8388608,8388608,1050624,,,,
14,mid.attention.qk,attention_qk,"[""mid.attention.q"", ""mid.attention.k""]",mid.attention.qk,17179869184,16777216,{},16777216,67108864,0,baddbmm alpha scaling included; beta0 scratch handled as explicit transient below.,,,
15,mid.attention.softmax,softmax,"[""mid.attention.qk""]",mid.attention.softmax,0,50327552,"{""exp"": 16777216, ""max_comparisons"": 16773120}",67108864,67108864,0,,,,
16,mid.attention.pv,attention_pv,"[""mid.attention.softmax"", ""mid.attention.v""]",mid.attention.pv,17179869184,0,{},75497472,8388608,0,,,,
17,mid.attention.out,linear_1x1,"[""mid.attention.pv""]",mid.attention.out,2147483648,2097152,{},8388608,8388608,1050624,,,,
18,mid.attention.add,residual_add,"[""mid.attention.out"", ""mid.residual0.divide_by_one""]",mid.attention.add,0,2097152,{},16777216,8388608,0,,,,
19,mid.attention.divide_by_one,residual_rescale,"[""mid.attention.add""]",mid.attention.divide_by_one,0,2097152,{},8388608,8388608,0,,,,
