id,name,kind,inputs,output,matrix_flops,scalar_flops,special_ops,input_bytes,output_bytes,weight_bytes,notes,nonpadding_matrix_flops,normalization_vectors,normalization_width
0,post_quant,conv2d,"[""latent""]",post_quant,25165824,393216,{},786432,786432,2112,"Dense same-padding slots, FMA=2; bias additions separate.",25165824,,
1,decoder.input,conv2d,"[""post_quant""]",decoder.input,3623878656,6291456,{},786432,12582912,295936,"Dense same-padding slots, FMA=2; bias additions separate.",3561226240,,
2,mid.residual0.norm1,groupnorm,"[""decoder.input""]",mid.residual0.norm1,0,44040256,"{""rsqrt"": 64}",12582912,12582912,2048,"Biased-variance two-pass mathematical algorithm, 32 groups; kernel reduction algorithm/workspace unspecified.",,64,98304
3,mid.residual0.silu1,silu,"[""mid.residual0.norm1""]",mid.residual0.silu1,0,6291456,"{""sigmoid"": 6291456}",12582912,12582912,0,,,,
4,mid.residual0.conv1,conv2d,"[""mid.residual0.silu1""]",mid.residual0.conv1,57982058496,6291456,{},12582912,12582912,4719616,"Dense same-padding slots, FMA=2; bias additions separate.",56979619840,,
5,mid.residual0.norm2,groupnorm,"[""mid.residual0.conv1""]",mid.residual0.norm2,0,44040256,"{""rsqrt"": 64}",12582912,12582912,2048,"Biased-variance two-pass mathematical algorithm, 32 groups; kernel reduction algorithm/workspace unspecified.",,64,98304
6,mid.residual0.silu2,silu,"[""mid.residual0.norm2""]",mid.residual0.silu2,0,6291456,"{""sigmoid"": 6291456}",12582912,12582912,0,,,,
7,mid.residual0.conv2,conv2d,"[""mid.residual0.silu2""]",mid.residual0.conv2,57982058496,6291456,{},12582912,12582912,4719616,"Dense same-padding slots, FMA=2; bias additions separate.",56979619840,,
8,mid.residual0.add,residual_add,"[""decoder.input"", ""mid.residual0.conv2""]",mid.residual0.add,0,6291456,{},25165824,12582912,0,,,,
9,mid.residual0.divide_by_one,residual_rescale,"[""mid.residual0.add""]",mid.residual0.divide_by_one,0,6291456,{},12582912,12582912,0,Pinned source divides by output_scale_factor=1; retained as source operation.,,,
10,mid.attention.norm,groupnorm,"[""mid.residual0.divide_by_one""]",mid.attention.norm,0,44040256,"{""rsqrt"": 64}",12582912,12582912,2048,"Biased-variance two-pass mathematical algorithm, 32 groups; kernel reduction algorithm/workspace unspecified.",,64,98304
11,mid.attention.q,linear_1x1,"[""mid.attention.norm""]",mid.attention.q,6442450944,6291456,{},12582912,12582912,525312,,,,
12,mid.attention.k,linear_1x1,"[""mid.attention.norm""]",mid.attention.k,6442450944,6291456,{},12582912,12582912,525312,,,,
13,mid.attention.v,linear_1x1,"[""mid.attention.norm""]",mid.attention.v,6442450944,6291456,{},12582912,12582912,525312,,,,
14,mid.attention.sdpa,sdpa,"[""mid.attention.q"", ""mid.attention.k"", ""mid.attention.v""]",mid.attention.sdpa,154618822656,301977600,"{""exp"": 75497472, ""max_comparisons"": 75485184}",37748736,12582912,0,"Single head, noncausal, dropout0. Mathematical QK/softmax/PV work; no score tensor allocation inferred from opaque SDPA.",,,
15,mid.attention.out,linear_1x1,"[""mid.attention.sdpa""]",mid.attention.out,6442450944,6291456,{},12582912,12582912,525312,,,,
16,mid.attention.add,residual_add,"[""mid.attention.out"", ""mid.residual0.divide_by_one""]",mid.attention.add,0,6291456,{},25165824,12582912,0,,,,
17,mid.attention.divide_by_one,residual_rescale,"[""mid.attention.add""]",mid.attention.divide_by_one,0,6291456,{},12582912,12582912,0,,,,
18,mid.residual1.norm1,groupnorm,"[""mid.attention.divide_by_one""]",mid.residual1.norm1,0,44040256,"{""rsqrt"": 64}",12582912,12582912,2048,"Biased-variance two-pass mathematical algorithm, 32 groups; kernel reduction algorithm/workspace unspecified.",,64,98304
19,mid.residual1.silu1,silu,"[""mid.residual1.norm1""]",mid.residual1.silu1,0,6291456,"{""sigmoid"": 6291456}",12582912,12582912,0,,,,
20,mid.residual1.conv1,conv2d,"[""mid.residual1.silu1""]",mid.residual1.conv1,57982058496,6291456,{},12582912,12582912,4719616,"Dense same-padding slots, FMA=2; bias additions separate.",56979619840,,
21,mid.residual1.norm2,groupnorm,"[""mid.residual1.conv1""]",mid.residual1.norm2,0,44040256,"{""rsqrt"": 64}",12582912,12582912,2048,"Biased-variance two-pass mathematical algorithm, 32 groups; kernel reduction algorithm/workspace unspecified.",,64,98304
22,mid.residual1.silu2,silu,"[""mid.residual1.norm2""]",mid.residual1.silu2,0,6291456,"{""sigmoid"": 6291456}",12582912,12582912,0,,,,
23,mid.residual1.conv2,conv2d,"[""mid.residual1.silu2""]",mid.residual1.conv2,57982058496,6291456,{},12582912,12582912,4719616,"Dense same-padding slots, FMA=2; bias additions separate.",56979619840,,
24,mid.residual1.add,residual_add,"[""mid.attention.divide_by_one"", ""mid.residual1.conv2""]",mid.residual1.add,0,6291456,{},25165824,12582912,0,,,,
25,mid.residual1.divide_by_one,residual_rescale,"[""mid.residual1.add""]",mid.residual1.divide_by_one,0,6291456,{},12582912,12582912,0,Pinned source divides by output_scale_factor=1; retained as source operation.,,,
26,up0.residual0.norm1,groupnorm,"[""mid.residual1.divide_by_one""]",up0.residual0.norm1,0,44040256,"{""rsqrt"": 64}",12582912,12582912,2048,"Biased-variance two-pass mathematical algorithm, 32 groups; kernel reduction algorithm/workspace unspecified.",,64,98304
27,up0.residual0.silu1,silu,"[""up0.residual0.norm1""]",up0.residual0.silu1,0,6291456,"{""sigmoid"": 6291456}",12582912,12582912,0,,,,
28,up0.residual0.conv1,conv2d,"[""up0.residual0.silu1""]",up0.residual0.conv1,57982058496,6291456,{},12582912,12582912,4719616,"Dense same-padding slots, FMA=2; bias additions separate.",56979619840,,
29,up0.residual0.norm2,groupnorm,"[""up0.residual0.conv1""]",up0.residual0.norm2,0,44040256,"{""rsqrt"": 64}",12582912,12582912,2048,"Biased-variance two-pass mathematical algorithm, 32 groups; kernel reduction algorithm/workspace unspecified.",,64,98304
30,up0.residual0.silu2,silu,"[""up0.residual0.norm2""]",up0.residual0.silu2,0,6291456,"{""sigmoid"": 6291456}",12582912,12582912,0,,,,
