layer,name,category,shapes,matrix_flops,scalar_flops,special_ops,weight_read_bytes,activation_read_bytes,activation_write_bytes,notes,repeats
aggregate; see repeats,embedding_lookup,embedding,"{""ids"": [1, 8192], ""output"": [8192, 7168]}",0,0,{},117440512,0,117440512,,1
aggregate; see repeats,input_rmsnorm,normalization,"{""input"": [8192, 7168], ""weight"": [7168], ""output"": [8192, 7168]}",0,234889216,"{""rsqrt"": 8192}",14336,117440512,117440512,按 FP32 行内归约的代数计数；rsqrt、类型转换与临时 FP32 张量分列／不推断 HBM spill。,61
aggregate; see repeats,post_attention_rmsnorm,normalization,"{""input"": [8192, 7168], ""weight"": [7168], ""output"": [8192, 7168]}",0,234889216,"{""rsqrt"": 8192}",14336,117440512,117440512,按 FP32 行内归约的代数计数；rsqrt、类型转换与临时 FP32 张量分列／不推断 HBM spill。,61
aggregate; see repeats,q_a_proj,linear,"{""input"": [8192, 7168], ""weight_math"": [7168, 1536], ""weight_storage"": [1536, 7168], ""output"": [8192, 1536]}",180388626432,0,{},22020096,117440512,25165824,独立 GEMM：权重与输入各读一次、输出写一次的操作数载荷；不预测 tile 重读。,61
aggregate; see repeats,q_b_proj,linear,"{""input"": [8192, 1536], ""weight_math"": [1536, 24576], ""weight_storage"": [24576, 1536], ""output"": [8192, 24576]}",618475290624,0,{},75497472,25165824,402653184,独立 GEMM：权重与输入各读一次、输出写一次的操作数载荷；不预测 tile 重读。,61
aggregate; see repeats,kv_a_proj_with_mqa,linear,"{""input"": [8192, 7168], ""weight_math"": [7168, 576], ""weight_storage"": [576, 7168], ""output"": [8192, 576]}",67645734912,0,{},8257536,117440512,9437184,独立 GEMM：权重与输入各读一次、输出写一次的操作数载荷；不预测 tile 重读。,61
aggregate; see repeats,kv_b_proj,linear,"{""input"": [8192, 512], ""weight_math"": [512, 32768], ""weight_storage"": [32768, 512], ""output"": [8192, 32768]}",274877906944,0,{},33554432,8388608,536870912,独立 GEMM：权重与输入各读一次、输出写一次的操作数载荷；不预测 tile 重读。,61
aggregate; see repeats,o_proj,linear,"{""input"": [8192, 16384], ""weight_math"": [16384, 7168], ""weight_storage"": [7168, 16384], ""output"": [8192, 7168]}",1924145348608,0,{},234881024,268435456,117440512,独立 GEMM：权重与输入各读一次、输出写一次的操作数载荷；不预测 tile 重读。,61
aggregate; see repeats,q_a_layernorm,normalization,"{""input"": [8192, 1536], ""weight"": [1536], ""output"": [8192, 1536]}",0,50339840,"{""rsqrt"": 8192}",3072,25165824,25165824,按 FP32 行内归约的代数计数；rsqrt、类型转换与临时 FP32 张量分列／不推断 HBM spill。,61
aggregate; see repeats,kv_a_layernorm,normalization,"{""input"": [8192, 512], ""weight"": [512], ""output"": [8192, 512]}",0,16785408,"{""rsqrt"": 8192}",1024,8388608,8388608,按 FP32 行内归约的代数计数；rsqrt、类型转换与临时 FP32 张量分列／不推断 HBM spill。,61
aggregate; see repeats,rotary_q_and_shared_k,position,"{""q_rotary"": [1, 128, 8192, 64], ""k_rotary"": [1, 1, 8192, 64]}",0,202899456,"{""sign_negation"": 33816576}",0,137363456,135266304,2 multiplies + 1 add per rotary cell; sign flips separate. Cos/sin table operands read once per token and broadcast over heads. YaRN tables assumed prepared.,61
aggregate; see repeats,expanded_kv_append,cache,"{""key"": [1, 128, 8192, 192], ""value"": [1, 128, 8192, 128]}",0,0,{},0,671088640,671088640,Logical newly expanded cache records only; shared rotary branch is repeated across key heads. DynamicCache concatenation/copies are not these bytes.,61
