MemTotal:       197661924 kB
MemFree:         7824992 kB
MemAvailable:   77525276 kB
Buffers:         5628508 kB
Cached:         62738592 kB
SwapCached:        30316 kB
Active:         124407400 kB
Inactive:       57946528 kB
Active(anon):   82605872 kB
Inactive(anon): 31588644 kB
Active(file):   41801528 kB
Inactive(file): 26357884 kB
Unevictable:       27996 kB
Mlocked:           27996 kB
SwapTotal:       8388604 kB
SwapFree:            184 kB
Zswap:                 0 kB
Zswapped:              0 kB
Dirty:            147056 kB
Writeback:             0 kB
AnonPages:      113985072 kB
Mapped:           955852 kB
Shmem:            198564 kB
KReclaimable:    3313812 kB
Slab:            4078276 kB
SReclaimable:    3313812 kB
SUnreclaim:       764464 kB
KernelStack:       48448 kB
PageTables:       317568 kB
SecPageTables:         0 kB
NFS_Unstable:          0 kB
Bounce:                0 kB
WritebackTmp:          0 kB
CommitLimit:    107219564 kB
Committed_AS:   89046132 kB
VmallocTotal:   34359738367 kB
VmallocUsed:      145824 kB
VmallocChunk:          0 kB
Percpu:            57856 kB
HardwareCorrupted:     0 kB
AnonHugePages:     69632 kB
ShmemHugePages:        0 kB
ShmemPmdMapped:        0 kB
FileHugePages:         0 kB
FilePmdMapped:         0 kB
Unaccepted:            0 kB
HugePages_Total:       0
HugePages_Free:        0
HugePages_Rsvd:        0
HugePages_Surp:        0
Hugepagesize:       2048 kB
Hugetlb:               0 kB
DirectMap4k:    29781452 kB
DirectMap2M:    168200192 kB
DirectMap1G:     3145728 kB
