# gpu         pid   type     sm    mem    enc    dec    jpg    ofa     fb   ccpm    command 
# Idx           #    C/G      %      %      %      %      %      %     MB     MB    name 
    0       5875     C      -      -      -      -      -      -   1192      0    python         
    0    1219611     C      -      -      -      -      -      -   1684      0    python         
    0    1953199     C      -      -      -      -      -      -   6446      0    python         
    0    1970308     C      -      -      -      -      -      -   1718      0    python         
    0       5875     C      -      -      -      -      -      -   1192      0    python         
    0    1219611     C      -      -      -      -      -      -   1684      0    python         
    0    1953199     C      -      -      -      -      -      -   6446      0    python         
    0    1970308     C      -      -      -      -      -      -   1718      0    python         
    0       5875     C      -      -      -      -      -      -   1192      0    python         
    0    1219611     C      -      -      -      -      -      -   1684      0    python         
    0    1953199     C      -      -      -      -      -      -   6446      0    python         
    0    1970308     C      -      -      -      -      -      -   1718      0    python         
    0    2556366     C      -      -      -      -      -      -    802      0    VLLM::EngineCor
    0       5875     C      -      -      -      -      -      -   1192      0    python         
    0    1219611     C      -      -      -      -      -      -   1684      0    python         
    0    1953199     C      -      -      -      -      -      -   6446      0    python         
    0    1970308     C      -      -      -      -      -      -   1718      0    python         
    0    2556366     C     11      0      -      -      -      -  16466      0    VLLM::EngineCor
    0       5875     C      -      -      -      -      -      -   1192      0    python         
    0    1219611     C      -      -      -      -      -      -   1684      0    python         
    0    1953199     C      -      -      -      -      -      -   6446      0    python         
    0    1970308     C      -      -      -      -      -      -   1718      0    python         
    0    2556366     C     21      0      -      -      -      -  16466      0    VLLM::EngineCor
    0       5875     C      -      -      -      -      -      -   1192      0    python         
    0    1219611     C      -      -      -      -      -      -   1684      0    python         
    0    1953199     C      -      -      -      -      -      -   6446      0    python         
    0    1970308     C      -      -      -      -      -      -   1718      0    python         
    0    2556366     C     17      2      -      -      -      -  16944      0    VLLM::EngineCor
    0       5875     C      -      -      -      -      -      -   1192      0    python         
    0    1219611     C      -      -      -      -      -      -   1684      0    python         
    0    1953199     C      -      -      -      -      -      -   6446      0    python         
    0    1970308     C      -      -      -      -      -      -   1718      0    python         
    0    2556366     C     29     13      -      -      -      -  41580      0    VLLM::EngineCor
    0       5875     C      -      -      -      -      -      -   1192      0    python         
    0    1219611     C      -      -      -      -      -      -   1684      0    python         
    0    1953199     C      -      -      -      -      -      -   6446      0    python         
    0    1970308     C      -      -      -      -      -      -   1718      0    python         
    0    2556366     C     56     49      -      -      -      -  41580      0    VLLM::EngineCor
    0       5875     C      -      -      -      -      -      -   1192      0    python         
    0    1219611     C      -      -      -      -      -      -   1684      0    python         
    0    1953199     C      -      -      -      -      -      -   6446      0    python         
    0    1970308     C      -      -      -      -      -      -   1718      0    python         
    0    2556366     C     91     80      -      -      -      -  41580      0    VLLM::EngineCor
    0       5875     C      -      -      -      -      -      -   1192      0    python         
# gpu         pid   type     sm    mem    enc    dec    jpg    ofa     fb   ccpm    command 
# Idx           #    C/G      %      %      %      %      %      %     MB     MB    name 
    0    1219611     C      -      -      -      -      -      -   1684      0    python         
    0    1953199     C      -      -      -      -      -      -   6446      0    python         
    0    1970308     C      -      -      -      -      -      -   1718      0    python         
    0    2556366     C     75     65      -      -      -      -  41580      0    VLLM::EngineCor
    0       5875     C      -      -      -      -      -      -   1192      0    python         
    0    1219611     C      -      -      -      -      -      -   1684      0    python         
    0    1953199     C      -      -      -      -      -      -   6446      0    python         
    0    1970308     C      -      -      -      -      -      -   1718      0    python         
    0    2556366     C     92     82      -      -      -      -  41580      0    VLLM::EngineCor
    0       5875     C      -      -      -      -      -      -   1192      0    python         
    0    1219611     C      -      -      -      -      -      -   1684      0    python         
    0    1953199     C      -      -      -      -      -      -   6446      0    python         
    0    1970308     C      -      -      -      -      -      -   1718      0    python         
    0    2556366     C     81     73      -      -      -      -  41580      0    VLLM::EngineCor
    0       5875     C      -      -      -      -      -      -   1192      0    python         
    0    1219611     C      -      -      -      -      -      -   1684      0    python         
    0    1953199     C      -      -      -      -      -      -   6446      0    python         
    0    1970308     C      -      -      -      -      -      -   1718      0    python         
    0    2556366     C     79     70      -      -      -      -  41580      0    VLLM::EngineCor
    0       5875     C      -      -      -      -      -      -   1192      0    python         
    0    1219611     C      -      -      -      -      -      -   1684      0    python         
    0    1953199     C      -      -      -      -      -      -   6446      0    python         
    0    1970308     C      -      -      -      -      -      -   1718      0    python         
    0    2556366     C     89     78      -      -      -      -  41580      0    VLLM::EngineCor
    0       5875     C      -      -      -      -      -      -   1192      0    python         
    0    1219611     C      -      -      -      -      -      -   1684      0    python         
    0    1953199     C      -      -      -      -      -      -   6446      0    python         
    0    1970308     C      -      -      -      -      -      -   1718      0    python         
    0    2556366     C     82     72      -      -      -      -  41580      0    VLLM::EngineCor
    0       5875     C      -      -      -      -      -      -   1192      0    python         
    0    1219611     C      -      -      -      -      -      -   1684      0    python         
    0    1953199     C      -      -      -      -      -      -   6446      0    python         
    0    1970308     C      -      -      -      -      -      -   1718      0    python         
    0    2556366     C     80     71      -      -      -      -  41580      0    VLLM::EngineCor
    0       5875     C      -      -      -      -      -      -   1192      0    python         
    0    1219611     C      -      -      -      -      -      -   1684      0    python         
    0    1953199     C      -      -      -      -      -      -   6446      0    python         
    0    1970308     C      -      -      -      -      -      -   1718      0    python         
    0    2556366     C     68     60      -      -      -      -  41580      0    VLLM::EngineCor
    0       5875     C      -      -      -      -      -      -   1192      0    python         
    0    1219611     C      -      -      -      -      -      -   1684      0    python         
    0    1953199     C      -      -      -      -      -      -   6446      0    python         
    0    1970308     C      -      -      -      -      -      -   1718      0    python         
    0    2556366     C     61     54      -      -      -      -  41580      0    VLLM::EngineCor
# gpu         pid   type     sm    mem    enc    dec    jpg    ofa     fb   ccpm    command 
# Idx           #    C/G      %      %      %      %      %      %     MB     MB    name 
    0       5875     C      -      -      -      -      -      -   1192      0    python         
    0    1219611     C      -      -      -      -      -      -   1684      0    python         
    0    1953199     C      -      -      -      -      -      -   6446      0    python         
    0    1970308     C      -      -      -      -      -      -   1718      0    python         
    0    2556366     C     42     37      -      -      -      -  41580      0    VLLM::EngineCor
    0       5875     C      -      -      -      -      -      -   1192      0    python         
    0    1219611     C      -      -      -      -      -      -   1684      0    python         
    0    1953199     C      -      -      -      -      -      -   6446      0    python         
    0    1970308     C      -      -      -      -      -      -   1718      0    python         
    0    2556366     C     37     33      -      -      -      -  41580      0    VLLM::EngineCor
    0       5875     C      -      -      -      -      -      -   1192      0    python         
    0    1219611     C      -      -      -      -      -      -   1684      0    python         
    0    1953199     C      -      -      -      -      -      -   6446      0    python         
    0    1970308     C      -      -      -      -      -      -   1718      0    python         
    0    2556366     C     60     53      -      -      -      -  41580      0    VLLM::EngineCor
    0       5875     C      -      -      -      -      -      -   1192      0    python         
    0    1219611     C      -      -      -      -      -      -   1684      0    python         
    0    1953199     C      -      -      -      -      -      -   6446      0    python         
    0    1970308     C      -      -      -      -      -      -   1718      0    python         
    0    2556366     C     57     51      -      -      -      -  41580      0    VLLM::EngineCor
    0       5875     C      -      -      -      -      -      -   1192      0    python         
    0    1219611     C      -      -      -      -      -      -   1684      0    python         
    0    1953199     C      -      -      -      -      -      -   6446      0    python         
    0    1970308     C      -      -      -      -      -      -   1718      0    python         
    0    2556366     C     55     49      -      -      -      -  41580      0    VLLM::EngineCor
    0       5875     C      -      -      -      -      -      -   1192      0    python         
    0    1219611     C      -      -      -      -      -      -   1684      0    python         
    0    1953199     C      -      -      -      -      -      -   6446      0    python         
    0    1970308     C      -      -      -      -      -      -   1718      0    python         
    0    2556366     C     83     74      -      -      -      -  41580      0    VLLM::EngineCor
    0       5875     C      -      -      -      -      -      -   1192      0    python         
    0    1219611     C      -      -      -      -      -      -   1684      0    python         
    0    1953199     C      -      -      -      -      -      -   6446      0    python         
    0    1970308     C      -      -      -      -      -      -   1718      0    python         
    0    2556366     C     90     81      -      -      -      -  41580      0    VLLM::EngineCor
    0       5875     C      -      -      -      -      -      -   1192      0    python         
    0    1219611     C      -      -      -      -      -      -   1684      0    python         
    0    1953199     C      -      -      -      -      -      -   6446      0    python         
    0    1970308     C      -      -      -      -      -      -   1718      0    python         
    0    2556366     C     78     70      -      -      -      -  41580      0    VLLM::EngineCor
    0       5875     C      -      -      -      -      -      -   1192      0    python         
    0    1219611     C      -      -      -      -      -      -   1684      0    python         
    0    1953199     C      -      -      -      -      -      -   6446      0    python         
    0    1970308     C      -      -      -      -      -      -   1718      0    python         
# gpu         pid   type     sm    mem    enc    dec    jpg    ofa     fb   ccpm    command 
# Idx           #    C/G      %      %      %      %      %      %     MB     MB    name 
    0    2556366     C     81     71      -      -      -      -  41580      0    VLLM::EngineCor
    0       5875     C      -      -      -      -      -      -   1192      0    python         
    0    1219611     C      -      -      -      -      -      -   1684      0    python         
    0    1953199     C      -      -      -      -      -      -   6446      0    python         
    0    1970308     C      -      -      -      -      -      -   1718      0    python         
    0    2556366     C     80     70      -      -      -      -  41580      0    VLLM::EngineCor
    0       5875     C      -      -      -      -      -      -   1192      0    python         
    0    1219611     C      -      -      -      -      -      -   1684      0    python         
    0    1953199     C      -      -      -      -      -      -   6446      0    python         
    0    1970308     C      -      -      -      -      -      -   1718      0    python         
    0    2556366     C     69     61      -      -      -      -  41580      0    VLLM::EngineCor
    0       5875     C      -      -      -      -      -      -   1192      0    python         
    0    1219611     C      -      -      -      -      -      -   1684      0    python         
    0    1953199     C      -      -      -      -      -      -   6446      0    python         
    0    1970308     C      -      -      -      -      -      -   1718      0    python         
    0    2556366     C     52     46      -      -      -      -  41580      0    VLLM::EngineCor
    0       5875     C      -      -      -      -      -      -   1192      0    python         
    0    1219611     C      -      -      -      -      -      -   1684      0    python         
    0    1953199     C      -      -      -      -      -      -   6446      0    python         
    0    1970308     C      -      -      -      -      -      -   1718      0    python         
    0    2556366     C     42     38      -      -      -      -  41580      0    VLLM::EngineCor
    0       5875     C      -      -      -      -      -      -   1192      0    python         
    0    1219611     C      -      -      -      -      -      -   1684      0    python         
    0    1953199     C      -      -      -      -      -      -   6446      0    python         
    0    1970308     C      -      -      -      -      -      -   1718      0    python         
    0    2556366     C     35     31      -      -      -      -  41580      0    VLLM::EngineCor
    0       5875     C      -      -      -      -      -      -   1192      0    python         
    0    1219611     C      -      -      -      -      -      -   1684      0    python         
    0    1953199     C      -      -      -      -      -      -   6446      0    python         
    0    1970308     C      -      -      -      -      -      -   1718      0    python         
    0    2556366     C     72     64      -      -      -      -  41580      0    VLLM::EngineCor
    0       5875     C      -      -      -      -      -      -   1192      0    python         
    0    1219611     C      -      -      -      -      -      -   1684      0    python         
    0    1953199     C      -      -      -      -      -      -   6446      0    python         
    0    1970308     C      -      -      -      -      -      -   1718      0    python         
    0    2556366     C     58     51      -      -      -      -  41580      0    VLLM::EngineCor
    0       5875     C      -      -      -      -      -      -   1192      0    python         
    0    1219611     C      -      -      -      -      -      -   1684      0    python         
    0    1953199     C      -      -      -      -      -      -   6446      0    python         
    0    1970308     C      -      -      -      -      -      -   1718      0    python         
    0    2556366     C     18     16      -      -      -      -  41580      0    VLLM::EngineCor
    0       5875     C      -      -      -      -      -      -   1192      0    python         
    0    1219611     C      -      -      -      -      -      -   1684      0    python         
    0    1953199     C      -      -      -      -      -      -   6446      0    python         
# gpu         pid   type     sm    mem    enc    dec    jpg    ofa     fb   ccpm    command 
