# gpu         pid   type     sm    mem    enc    dec    jpg    ofa    command 
# Idx           #    C/G      %      %      %      %      %      %    name 
    0       5875     C      -      -      -      -      -      -    python         
    0    1219611     C      -      -      -      -      -      -    python         
    0    1953199     C      -      -      -      -      -      -    python         
    0    1970308     C      -      -      -      -      -      -    python         
    0       5875     C      -      -      -      -      -      -    python         
    0    1219611     C      -      -      -      -      -      -    python         
    0    1953199     C      -      -      -      -      -      -    python         
    0    1970308     C      -      -      -      -      -      -    python         
    0       5875     C      -      -      -      -      -      -    python         
    0    1219611     C      -      -      -      -      -      -    python         
    0    1953199     C      -      -      -      -      -      -    python         
    0    1970308     C      -      -      -      -      -      -    python         
    0       5875     C      -      -      -      -      -      -    python         
    0    1219611     C      -      -      -      -      -      -    python         
    0    1953199     C      -      -      -      -      -      -    python         
    0    1970308     C      -      -      -      -      -      -    python         
    0       5875     C      -      -      -      -      -      -    python         
    0    1219611     C      -      -      -      -      -      -    python         
    0    1953199     C      -      -      -      -      -      -    python         
    0    1970308     C      -      -      -      -      -      -    python         
    0       5875     C      -      -      -      -      -      -    python         
    0    1219611     C      -      -      -      -      -      -    python         
    0    1953199     C      -      -      -      -      -      -    python         
    0    1970308     C      -      -      -      -      -      -    python         
    0       5875     C      -      -      -      -      -      -    python         
    0    1219611     C      -      -      -      -      -      -    python         
    0    1953199     C      -      -      -      -      -      -    python         
    0    1970308     C      -      -      -      -      -      -    python         
    0       5875     C      -      -      -      -      -      -    python         
    0    1219611     C      -      -      -      -      -      -    python         
    0    1953199     C      -      -      -      -      -      -    python         
    0    1970308     C      -      -      -      -      -      -    python         
    0       5875     C      -      -      -      -      -      -    python         
    0    1219611     C      -      -      -      -      -      -    python         
    0    1953199     C      -      -      -      -      -      -    python         
    0    1970308     C      -      -      -      -      -      -    python         
    0       5875     C      -      -      -      -      -      -    python         
    0    1219611     C      -      -      -      -      -      -    python         
    0    1953199     C      -      -      -      -      -      -    python         
    0    1970308     C      -      -      -      -      -      -    python         
    0       5875     C      -      -      -      -      -      -    python         
    0    1219611     C      -      -      -      -      -      -    python         
    0    1953199     C      -      -      -      -      -      -    python         
    0    1970308     C      -      -      -      -      -      -    python         
# gpu         pid   type     sm    mem    enc    dec    jpg    ofa    command 
# Idx           #    C/G      %      %      %      %      %      %    name 
    0       5875     C      -      -      -      -      -      -    python         
    0    1219611     C      -      -      -      -      -      -    python         
    0    1953199     C      -      -      -      -      -      -    python         
    0    1970308     C      -      -      -      -      -      -    python         
    0       5875     C      -      -      -      -      -      -    python         
    0    1219611     C      -      -      -      -      -      -    python         
    0    1953199     C      -      -      -      -      -      -    python         
    0    1970308     C      -      -      -      -      -      -    python         
    0       5875     C      -      -      -      -      -      -    python         
    0    1219611     C      -      -      -      -      -      -    python         
    0    1953199     C      -      -      -      -      -      -    python         
    0    1970308     C      -      -      -      -      -      -    python         
    0       5875     C      -      -      -      -      -      -    python         
    0    1219611     C      -      -      -      -      -      -    python         
    0    1953199     C      -      -      -      -      -      -    python         
    0    1970308     C      -      -      -      -      -      -    python         
    0       5875     C      -      -      -      -      -      -    python         
    0    1219611     C      -      -      -      -      -      -    python         
    0    1953199     C      -      -      -      -      -      -    python         
    0    1970308     C      -      -      -      -      -      -    python         
    0       5875     C      -      -      -      -      -      -    python         
    0    1219611     C      -      -      -      -      -      -    python         
    0    1953199     C      -      -      -      -      -      -    python         
    0    1970308     C      -      -      -      -      -      -    python         
    0       5875     C      -      -      -      -      -      -    python         
    0    1219611     C      -      -      -      -      -      -    python         
    0    1953199     C      -      -      -      -      -      -    python         
    0    1970308     C      -      -      -      -      -      -    python         
    0       5875     C      -      -      -      -      -      -    python         
    0    1219611     C      -      -      -      -      -      -    python         
    0    1953199     C      -      -      -      -      -      -    python         
    0    1970308     C      -      -      -      -      -      -    python         
    0       5875     C      -      -      -      -      -      -    python         
    0    1219611     C      -      -      -      -      -      -    python         
    0    1953199     C      -      -      -      -      -      -    python         
    0    1970308     C      -      -      -      -      -      -    python         
    0       5875     C      -      -      -      -      -      -    python         
    0    1219611     C      -      -      -      -      -      -    python         
    0    1953199     C      -      -      -      -      -      -    python         
    0    1970308     C      -      -      -      -      -      -    python         
    0       5875     C      -      -      -      -      -      -    python         
    0    1219611     C      -      -      -      -      -      -    python         
    0    1953199     C      -      -      -      -      -      -    python         
    0    1970308     C      -      -      -      -      -      -    python         
# gpu         pid   type     sm    mem    enc    dec    jpg    ofa    command 
# Idx           #    C/G      %      %      %      %      %      %    name 
    0       5875     C      -      -      -      -      -      -    python         
    0    1219611     C      -      -      -      -      -      -    python         
    0    1953199     C      -      -      -      -      -      -    python         
    0    1970308     C      -      -      -      -      -      -    python         
    0       5875     C      -      -      -      -      -      -    python         
    0    1219611     C      -      -      -      -      -      -    python         
    0    1953199     C      -      -      -      -      -      -    python         
    0    1970308     C      -      -      -      -      -      -    python         
    0       5875     C      -      -      -      -      -      -    python         
    0    1219611     C      -      -      -      -      -      -    python         
    0    1953199     C      -      -      -      -      -      -    python         
    0    1970308     C      -      -      -      -      -      -    python         
    0       5875     C      -      -      -      -      -      -    python         
    0    1219611     C      -      -      -      -      -      -    python         
    0    1953199     C      -      -      -      -      -      -    python         
    0    1970308     C      -      -      -      -      -      -    python         
    0       5875     C      -      -      -      -      -      -    python         
    0    1219611     C      -      -      -      -      -      -    python         
    0    1953199     C      -      -      -      -      -      -    python         
    0    1970308     C      -      -      -      -      -      -    python         
    0       5875     C      -      -      -      -      -      -    python         
    0    1219611     C      -      -      -      -      -      -    python         
    0    1953199     C      -      -      -      -      -      -    python         
    0    1970308     C      -      -      -      -      -      -    python         
    0       5875     C      -      -      -      -      -      -    python         
    0    1219611     C      -      -      -      -      -      -    python         
    0    1953199     C      -      -      -      -      -      -    python         
    0    1970308     C      -      -      -      -      -      -    python         
    0       5875     C      -      -      -      -      -      -    python         
    0    1219611     C      -      -      -      -      -      -    python         
    0    1953199     C      -      -      -      -      -      -    python         
    0    1970308     C      -      -      -      -      -      -    python         
