# gpu         pid   type     sm    mem    enc    dec    jpg    ofa     fb   ccpm    command 
# Idx           #    C/G      %      %      %      %      %      %     MB     MB    name 
    0       5875     C      -      -      -      -      -      -   1192      0    python         
    0    1219611     C      -      -      -      -      -      -   1684      0    python         
    0    1953199     C      -      -      -      -      -      -   6446      0    python         
    0    1970308     C      -      -      -      -      -      -   1718      0    python         
    0    2253382     C      0      0      0      0      -      -     14      0    python         
    0       5875     C      -      -      -      -      -      -   1192      0    python         
    0    1219611     C      -      -      -      -      -      -   1684      0    python         
    0    1953199     C      -      -      -      -      -      -   6446      0    python         
    0    1970308     C      -      -      -      -      -      -   1718      0    python         
    0    2253382     C      3      0      -      -      -      -   3482      0    python         
