run,source,line,mode,size_bytes,count,nranks,time_us,algbw_GB_s,busbw_GB_s,wrong,bus_factor,row_correct
hgx2,raw/hgx2.txt,70,out_of_place,8,2,16,68.52,0.0,0.0,0.0,1.875,True
hgx2,raw/hgx2.txt,70,in_place,8,2,16,24.7,0.0,0.0,0.0,1.875,True
hgx2,raw/hgx2.txt,71,out_of_place,16,4,16,24.96,0.0,0.0,0.0,1.875,True
hgx2,raw/hgx2.txt,71,in_place,16,4,16,24.93,0.0,0.0,0.0,1.875,True
hgx2,raw/hgx2.txt,72,out_of_place,32,8,16,24.93,0.0,0.0,0.0,1.875,True
hgx2,raw/hgx2.txt,72,in_place,32,8,16,25.02,0.0,0.0,0.0,1.875,True
hgx2,raw/hgx2.txt,73,out_of_place,64,16,16,25.29,0.0,0.0,0.0,1.875,True
hgx2,raw/hgx2.txt,73,in_place,64,16,16,25.21,0.0,0.0,0.0,1.875,True
hgx2,raw/hgx2.txt,74,out_of_place,128,32,16,25.68,0.0,0.01,0.0,1.875,True
hgx2,raw/hgx2.txt,74,in_place,128,32,16,25.62,0.0,0.01,0.0,1.875,True
hgx2,raw/hgx2.txt,75,out_of_place,256,64,16,94.4,0.0,0.01,0.0,1.875,True
hgx2,raw/hgx2.txt,75,in_place,256,64,16,25.9,0.01,0.02,0.0,1.875,True
hgx2,raw/hgx2.txt,76,out_of_place,512,128,16,32.35,0.02,0.03,0.0,1.875,True
hgx2,raw/hgx2.txt,76,in_place,512,128,16,26.31,0.02,0.04,0.0,1.875,True
hgx2,raw/hgx2.txt,77,out_of_place,1024,256,16,29.75,0.03,0.06,0.0,1.875,True
hgx2,raw/hgx2.txt,77,in_place,1024,256,16,26.65,0.04,0.07,0.0,1.875,True
hgx2,raw/hgx2.txt,78,out_of_place,2048,512,16,28.19,0.07,0.14,0.0,1.875,True
hgx2,raw/hgx2.txt,78,in_place,2048,512,16,28.22,0.07,0.14,0.0,1.875,True
hgx2,raw/hgx2.txt,79,out_of_place,4096,1024,16,30.24,0.14,0.25,0.0,1.875,True
hgx2,raw/hgx2.txt,79,in_place,4096,1024,16,29.72,0.14,0.26,0.0,1.875,True
hgx2,raw/hgx2.txt,80,out_of_place,8192,2048,16,32.12,0.26,0.48,0.0,1.875,True
hgx2,raw/hgx2.txt,80,in_place,8192,2048,16,31.67,0.26,0.48,0.0,1.875,True
hgx2,raw/hgx2.txt,81,out_of_place,16384,4096,16,32.74,0.5,0.94,0.0,1.875,True
hgx2,raw/hgx2.txt,81,in_place,16384,4096,16,32.24,0.51,0.95,0.0,1.875,True
hgx2,raw/hgx2.txt,82,out_of_place,32768,8192,16,34.1,0.96,1.8,0.0,1.875,True
hgx2,raw/hgx2.txt,82,in_place,32768,8192,16,33.47,0.98,1.84,0.0,1.875,True
hgx2,raw/hgx2.txt,83,out_of_place,65536,16384,16,33.84,1.94,3.63,0.0,1.875,True
hgx2,raw/hgx2.txt,83,in_place,65536,16384,16,33.08,1.98,3.71,0.0,1.875,True
hgx2,raw/hgx2.txt,84,out_of_place,131072,32768,16,38.77,3.38,6.34,0.0,1.875,True
hgx2,raw/hgx2.txt,84,in_place,131072,32768,16,38.12,3.44,6.45,0.0,1.875,True
hgx2,raw/hgx2.txt,85,out_of_place,262144,65536,16,48.67,5.39,10.1,0.0,1.875,True
hgx2,raw/hgx2.txt,85,in_place,262144,65536,16,46.79,5.6,10.5,0.0,1.875,True
hgx2,raw/hgx2.txt,86,out_of_place,524288,131072,16,77.69,6.75,12.65,0.0,1.875,True
hgx2,raw/hgx2.txt,86,in_place,524288,131072,16,70.33,7.46,13.98,0.0,1.875,True
hgx2,raw/hgx2.txt,87,out_of_place,1048576,262144,16,71.93,14.58,27.33,0.0,1.875,True
hgx2,raw/hgx2.txt,87,in_place,1048576,262144,16,71.47,14.67,27.51,0.0,1.875,True
hgx2,raw/hgx2.txt,88,out_of_place,2097152,524288,16,76.24,27.51,51.58,0.0,1.875,True
hgx2,raw/hgx2.txt,88,in_place,2097152,524288,16,76.62,27.37,51.32,0.0,1.875,True
hgx2,raw/hgx2.txt,89,out_of_place,4194304,1048576,16,94.38,44.44,83.33,0.0,1.875,True
