-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
                                                   Name    Self CPU %      Self CPU   CPU total %     CPU total  CPU time avg     Self CUDA   Self CUDA %    CUDA total  CUDA time avg    # of Calls  
-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
                   execute_context_0(0)_generation_1(1)         0.00%       0.000us         0.00%       0.000us       0.000us        8.672s       376.80%        8.672s      48.175ms           180  
                    vllm::unified_attention_with_output         8.02%     802.361ms         9.49%     949.496ms     100.924us        1.002s        43.53%        1.002s     106.544us          9408  
                execute_context_1(2048)_generation_0(0)         0.00%       0.000us         0.00%       0.000us       0.000us        1.002s        43.52%        1.002s      83.461ms            12  
                               kernel_unified_attention         0.00%       0.000us         0.00%       0.000us       0.000us     988.358ms        42.95%     988.358ms     105.055us          9408  
                                      vllm::moe_forward        24.18%        2.419s        36.48%        3.650s     387.965us     557.238ms        24.21%     745.556ms      79.247us          9408  
                                       fused_moe_kernel         0.00%       0.000us         0.00%       0.000us       0.000us     557.238ms        24.21%     557.238ms      29.615us         18816  
                execute_context_1(1091)_generation_0(0)         0.00%       0.000us         0.00%       0.000us       0.000us     327.189ms        14.22%     327.189ms      81.797ms             4  
                                  _C::cutlass_scaled_mm         1.51%     151.547ms         2.89%     289.659ms      15.394us     265.238ms        11.53%     265.312ms      14.100us         18816  
void cutlass::device_kernel<vllm::cutlass_3x_gemm_fp...         0.00%       0.000us         0.00%       0.000us       0.000us     184.205ms         8.00%     184.205ms      10.428us         17664  
                                               aten::mm         1.40%     140.495ms         1.72%     171.711ms      17.879us     101.502ms         4.41%     101.511ms      10.570us          9604  
std::enable_if<!(false), void>::type internal::gemvx...         0.00%       0.000us         0.00%       0.000us       0.000us      95.042ms         4.13%      95.042ms      10.756us          8836  
void cutlass::device_kernel<vllm::cutlass_3x_gemm_fp...         0.00%       0.000us         0.00%       0.000us       0.000us      81.033ms         3.52%      81.033ms      70.341us          1152  
                                           _C::rms_norm         0.43%      42.966ms         0.87%      86.983ms       4.575us      56.274ms         2.45%      56.276ms       2.960us         19012  
void vllm::rms_norm_kernel<c10::BFloat16, 8, 3>(c10:...         0.00%       0.000us         0.00%       0.000us       0.000us      55.884ms         2.43%      55.884ms       2.970us         18816  
                          _C::per_token_group_fp8_quant         0.61%      60.599ms         1.40%     139.693ms       4.949us      53.733ms         2.33%      53.736ms       1.904us         28224  
                       _C::silu_and_mul_per_block_quant         0.34%      33.860ms         0.59%      59.153ms       6.288us      47.982ms         2.08%      47.983ms       5.100us          9408  
void vllm::silu_and_mul_per_block_quant_kernel<c10::...         0.00%       0.000us         0.00%       0.000us       0.000us      47.982ms         2.08%      47.982ms       5.100us          9408  
void per_token_group_quant_8bit_kernel<c10::BFloat16...         0.00%       0.000us         0.00%       0.000us       0.000us      43.544ms         1.89%      43.544ms       1.632us         26688  
