ready 0
ready 1
completed 0 predicted_completion
completed 0 cache_first
completed 0 predicted_completion
completed 0 queue_first
completed 0 queue_first
completed 0 cache_first
completed 0 predicted_completion
completed 0 cache_first
completed 0 queue_first
completed 1 predicted_completion
completed 1 cache_first
completed 1 predicted_completion
completed 1 queue_first
completed 1 cache_first
completed 1 queue_first
completed 1 cache_first
completed 1 predicted_completion
completed 1 queue_first
