  PID  PPID  %CPU    RSS COMM
    1     0   0.3  38160 /sbin/launchd
  323     1   1.3 127968 /usr/libexec/logd
  324     1   0.0   7760 /usr/libexec/smd
  325     1   0.0  27872 /usr/libexec/UserEventAgent
  327     1   0.0  20560 /System/Library/Frameworks/CoreServices.framework/Versions/A/Frameworks/FSEvents.framework/Versions/A/Support/fseventsd
  328     1   0.0  22640 /System/Library/PrivateFrameworks/MediaRemote.framework/Support/mediaremoted
  331     1   0.0  13776 /usr/sbin/systemstats
  333     1   0.0  18080 /System/Library/PrivateFrameworks/MobileAccessoryUpdater.framework/Support/accessoryupdaterd
  334     1   0.0   2848 /usr/libexec/uarpassetmanagerd
  335     1   0.0  36656 /usr/libexec/configd
  336     1   0.0   5200 endpointsecurityd
  337     1   0.0  14736 /System/Library/CoreServices/powerd.bundle/powerd
  338     1   0.0   3456 /usr/libexec/IOMFB_bics_daemon
  340     1   0.3 223472 /usr/libexec/amfid
  342     1   0.0   9808 /usr/libexec/remoted
  344     1   0.0   5248 /usr/libexec/keybagd
  345     1   0.0   7280 /System/Library/PrivateFrameworks/MobileSoftwareUpdate.framework/Support/softwareupdated
  346     1   0.0   3808 /System/Library/PrivateFrameworks/CoreSpeech.framework/corespeechd_system
  348     1   0.0   4576 /usr/libexec/watchdogd
  352     1   0.4 520608 /System/Library/Frameworks/CoreServices.framework/Versions/A/Frameworks/Metadata.framework/Versions/A/Support/mds
  353     1   0.0   7888 /System/Library/CoreServices/iconservicesd
  354     1   0.0  23072 /usr/libexec/kernelmanagerd
  355     1   0.0   8416 /usr/libexec/diskarbitrationd
  358     1   0.0  41088 /usr/libexec/coreduetd
  359     1   0.0   3200 /usr/sbin/syslogd
  361     1   0.0   6448 /usr/libexec/thermalmonitord
  362     1   0.0  19888 /System/Library/PrivateFrameworks/CoreDuetContext.framework/Resources/contextstored
  363     1   0.0  41488 /usr/libexec/xprotectd
  364     1   6.7  31568 /usr/libexec/opendirectoryd
  365     1   0.0  35920 /System/Library/PrivateFrameworks/ApplePushService.framework/apsd
  366     1   0.0  18016 /System/Library/CoreServices/launchservicesd
  367     1   0.0   8480 /usr/libexec/timed
  368     1   0.0  12016 /System/Library/PrivateFrameworks/MobileDevice.framework/Versions/A/Resources/usbmuxd
  369     1   0.0  18560 /usr/sbin/securityd
  371     1   2.0  61664 /usr/libexec/locationd
  372     1   0.0  12976 /usr/libexec/nesessionmanager
  374     1   0.0   3824 autofsd
  375     1   0.0  35056 /usr/libexec/dasd
  376     1   0.0  14256 /System/Library/PrivateFrameworks/Heimdal.framework/Helpers/kdc
  377     1   0.0   8048 /usr/libexec/corerepaird
  379     1   0.0   7376 /usr/sbin/distnoted
  380     1   0.0   5104 /System/Library/PrivateFrameworks/AppleCredentialManager.framework/AppleCredentialManagerDaemon
  382     1   0.0   1536 /usr/libexec/dirhelper
  383     1   0.0   6176 /System/Library/CoreServices/logind
  384     1   0.0  11616 /System/Library/PrivateFrameworks/GenerationalStorage.framework/Versions/A/Support/revisiond
  385     1   0.0   2896 /usr/sbin/KernelEventAgent
  386     1   0.0   2608 /usr/libexec/peakpowermanagerd
  387     1   0.0   5424 /usr/libexec/usermanagerd
  389     1   0.0  37296 /usr/sbin/bluetoothd
  390     1   0.3   9872 /usr/sbin/notifyd
  391     1   0.0  32528 /usr/libexec/sandboxd
  392     1   0.1  19488 /usr/libexec/corebrightnessd
  393     1   0.0  14096 /usr/libexec/AirPlayXPCHelper
  394     1   0.0  35328 /System/Library/Frameworks/CoreMediaIO.framework/Versions/A/Resources/com.apple.cmio.registerassistantservice
  395     1   0.0   2416 aslmanager
  396     1   0.0 277968 /usr/libexec/logd_helper
  397     1  33.3 393456 /System/Library/PrivateFrameworks/SkyLight.framework/Resources/WindowServer
  398     1   0.0 180768 /System/Library/PrivateFrameworks/TCC.framework/Support/tccd
