id	title	source_page	pdf_url	status	reading_status
mlsys2025-0badcb4e95306df76a719409155e46e8	Graph Learning at Scale: Characterizing and Optimizing Pre-Propagation GNNs	https://proceedings.mlsys.org/paper_files/paper/2025/hash/0badcb4e95306df76a719409155e46e8-Abstract-Conference.html	https://proceedings.mlsys.org/paper_files/paper/2025/file/0badcb4e95306df76a719409155e46e8-Paper-Conference.pdf	downloaded	abstract_screened
mlsys2025-0f8426558905746fc38da5e335700aec	SwiftVI: Time-Efficient Planning and Learning with MDPs	https://proceedings.mlsys.org/paper_files/paper/2025/hash/0f8426558905746fc38da5e335700aec-Abstract-Conference.html	https://proceedings.mlsys.org/paper_files/paper/2025/file/0f8426558905746fc38da5e335700aec-Paper-Conference.pdf	downloaded	abstract_screened
mlsys2025-10e400a587ff6925e4e26333b419ff55	Balancing Pipeline Parallelism with Vocabulary Parallelism	https://proceedings.mlsys.org/paper_files/paper/2025/hash/10e400a587ff6925e4e26333b419ff55-Abstract-Conference.html	https://proceedings.mlsys.org/paper_files/paper/2025/file/10e400a587ff6925e4e26333b419ff55-Paper-Conference.pdf	downloaded	abstract_screened
mlsys2025-136b9a13861308c8948cd308ccd02658	Youmu: Efficient Columnar Data Pipeline for LLM Training	https://proceedings.mlsys.org/paper_files/paper/2025/hash/136b9a13861308c8948cd308ccd02658-Abstract-Conference.html	https://proceedings.mlsys.org/paper_files/paper/2025/file/136b9a13861308c8948cd308ccd02658-Paper-Conference.pdf	downloaded	abstract_screened
mlsys2025-16ec6494e9b5a4138de7238761d715b4	LeanAttention: Hardware-Aware Scalable Attention Mechanism for the Decode-Phase of Transformers	https://proceedings.mlsys.org/paper_files/paper/2025/hash/16ec6494e9b5a4138de7238761d715b4-Abstract-Conference.html	https://proceedings.mlsys.org/paper_files/paper/2025/file/16ec6494e9b5a4138de7238761d715b4-Paper-Conference.pdf	downloaded	abstract_screened
mlsys2025-185087ea328b4f03ea8fd0c8aa96f747	Photon: Federated LLM Pre-Training	https://proceedings.mlsys.org/paper_files/paper/2025/hash/185087ea328b4f03ea8fd0c8aa96f747-Abstract-Conference.html	https://proceedings.mlsys.org/paper_files/paper/2025/file/185087ea328b4f03ea8fd0c8aa96f747-Paper-Conference.pdf	downloaded	abstract_screened
mlsys2025-259a5df46308d60f8454bd4adcc3b462	MEADOW: Memory-efficient Dataflow and Data Packing for Low Power Edge LLMs	https://proceedings.mlsys.org/paper_files/paper/2025/hash/259a5df46308d60f8454bd4adcc3b462-Abstract-Conference.html	https://proceedings.mlsys.org/paper_files/paper/2025/file/259a5df46308d60f8454bd4adcc3b462-Paper-Conference.pdf	downloaded	abstract_screened
mlsys2025-26289c647c6828e862e271ca3c490486	Rethinking Key-Value Cache Compression Techniques for Large Language Model Serving	https://proceedings.mlsys.org/paper_files/paper/2025/hash/26289c647c6828e862e271ca3c490486-Abstract-Conference.html	https://proceedings.mlsys.org/paper_files/paper/2025/file/26289c647c6828e862e271ca3c490486-Paper-Conference.pdf	downloaded	selected_sections_read
mlsys2025-270339c997293ca2988c62f4308e389f	Rubick: Exploiting Job Reconfigurability for Deep Learning Cluster Scheduling	https://proceedings.mlsys.org/paper_files/paper/2025/hash/270339c997293ca2988c62f4308e389f-Abstract-Conference.html	https://proceedings.mlsys.org/paper_files/paper/2025/file/270339c997293ca2988c62f4308e389f-Paper-Conference.pdf	downloaded	selected_sections_read
mlsys2025-2d04d97593c8c33d415337f408ed0e1b	SampleAttention: Near-Lossless Acceleration of Long Context LLM Inference with Adaptive Structured Sparse Attention	https://proceedings.mlsys.org/paper_files/paper/2025/hash/2d04d97593c8c33d415337f408ed0e1b-Abstract-Conference.html	https://proceedings.mlsys.org/paper_files/paper/2025/file/2d04d97593c8c33d415337f408ed0e1b-Paper-Conference.pdf	downloaded	abstract_screened
mlsys2025-3619b2fc65a5538a24b48efc089da709	SPA: SCALING GRAPH NEURAL NETWORK TRAINING ON LARGE GRAPHS VIA PROBABILISTIC SPLITTING	https://proceedings.mlsys.org/paper_files/paper/2025/hash/3619b2fc65a5538a24b48efc089da709-Abstract-Conference.html	https://proceedings.mlsys.org/paper_files/paper/2025/file/3619b2fc65a5538a24b48efc089da709-Paper-Conference.pdf	downloaded	abstract_screened
mlsys2025-36e2967f87c3362e37cf988781a887ad	SparseTransX: Efficient Training of Translation-Based Knowledge Graph Embeddings Using Sparse Matrix Operations	https://proceedings.mlsys.org/paper_files/paper/2025/hash/36e2967f87c3362e37cf988781a887ad-Abstract-Conference.html	https://proceedings.mlsys.org/paper_files/paper/2025/file/36e2967f87c3362e37cf988781a887ad-Paper-Conference.pdf	downloaded	abstract_screened
mlsys2025-3b3889d313ba9476c12c2d77ea66b24f	ReaL: Efficient RLHF Training of Large Language Models with Parameter Reallocation	https://proceedings.mlsys.org/paper_files/paper/2025/hash/3b3889d313ba9476c12c2d77ea66b24f-Abstract-Conference.html	https://proceedings.mlsys.org/paper_files/paper/2025/file/3b3889d313ba9476c12c2d77ea66b24f-Paper-Conference.pdf	downloaded	abstract_screened
mlsys2025-40b8fb4f90004405e14b1ede6ab42373	Interference-aware Edge Runtime Prediction with Conformal Matrix Completion	https://proceedings.mlsys.org/paper_files/paper/2025/hash/40b8fb4f90004405e14b1ede6ab42373-Abstract-Conference.html	https://proceedings.mlsys.org/paper_files/paper/2025/file/40b8fb4f90004405e14b1ede6ab42373-Paper-Conference.pdf	downloaded	abstract_screened
mlsys2025-414fd191b3246a19a55741b938380136	DiffServe: Efficiently Serving Text-to-Image Diffusion Models with Query-Aware Model Scaling	https://proceedings.mlsys.org/paper_files/paper/2025/hash/414fd191b3246a19a55741b938380136-Abstract-Conference.html	https://proceedings.mlsys.org/paper_files/paper/2025/file/414fd191b3246a19a55741b938380136-Paper-Conference.pdf	downloaded	abstract_screened
mlsys2025-42e2b24104bc92d724ce45c0c2f91e1d	ProtoRAIL: A Risk-cognizant Imitation Agent for Adaptive vCPU Oversubscription In the Cloud	https://proceedings.mlsys.org/paper_files/paper/2025/hash/42e2b24104bc92d724ce45c0c2f91e1d-Abstract-Conference.html	https://proceedings.mlsys.org/paper_files/paper/2025/file/42e2b24104bc92d724ce45c0c2f91e1d-Paper-Conference.pdf	downloaded	abstract_screened
mlsys2025-437bc4ccafd3fc6d4289bd10940be42b	APOLLO: SGD-like Memory, AdamW-level Performance	https://proceedings.mlsys.org/paper_files/paper/2025/hash/437bc4ccafd3fc6d4289bd10940be42b-Abstract-Conference.html	https://proceedings.mlsys.org/paper_files/paper/2025/file/437bc4ccafd3fc6d4289bd10940be42b-Paper-Conference.pdf	downloaded	abstract_screened
mlsys2025-4f31327e046913c7238d5b671f5d820e	AI Metropolis: Scaling Large Language Model-based Multi-Agent Simulation with Out-of-order Execution	https://proceedings.mlsys.org/paper_files/paper/2025/hash/4f31327e046913c7238d5b671f5d820e-Abstract-Conference.html	https://proceedings.mlsys.org/paper_files/paper/2025/file/4f31327e046913c7238d5b671f5d820e-Paper-Conference.pdf	downloaded	abstract_screened
mlsys2025-5321b1dabcd2be188d796c21b733e8c7	The Hidden Bloat in Machine Learning Systems	https://proceedings.mlsys.org/paper_files/paper/2025/hash/5321b1dabcd2be188d796c21b733e8c7-Abstract-Conference.html	https://proceedings.mlsys.org/paper_files/paper/2025/file/5321b1dabcd2be188d796c21b733e8c7-Paper-Conference.pdf	downloaded	abstract_screened
