Benchmark,Threshold model,Performance range,Model Name,Release Date,USD per 1M Tokens,Predicted log price,Benchmark score
MMLU,GPT-3,"[43.9, 100]",GPT-3,2021-11-20,$60.00,60.19,43.9
MMLU,GPT-3,"[43.9, 100]",GPT-3,2022-09-01,$20.00,8.78,43.9
MMLU,GPT-3,"[43.9, 100]",GPT-3.5 Turbo,2023-03-06,$2.00,2.50,68.0
MMLU,GPT-3,"[43.9, 100]",Llama-2-Chat-13B,2023-07-18,$0.56,1.01,45.0
MMLU,GPT-3,"[43.9, 100]",Llama 2-7B,2023-12-01,$0.20,0.40,45.3
MMLU,GPT-3,"[43.9, 100]",Llama 2-7B,2024-04-14,$0.13,0.16,45.3
MMLU,GPT-3,"[43.9, 100]",Llama-3.1-Instruct-8B,2024-07-23,$0.10,0.08,71.0
MMLU,GPT-3,"[43.9, 100]",Llama-3.2-Instruct-3B,2024-09-24,$0.08,0.05,64.0
MMLU,GPT-3,"[43.9, 100]",Gemini-1.5-Flash-8B,2024-10-03,$0.07,0.05,75.0
MMLU,GPT-3.5,"[64.8, 100]",GPT-3.5,2022-11-30,$20.00,10.01,64.8
MMLU,GPT-3.5,"[64.8, 100]",GPT-3.5 Turbo,2023-03-06,$2.00,4.84,68.0
MMLU,GPT-3.5,"[64.8, 100]",GPT-3.5-Turbo-2023-11,2023-11-06,$0.75,0.76,68.0
MMLU,GPT-3.5,"[64.8, 100]",Claude-3-Haiku,2024-03-04,$0.50,0.31,71.0
MMLU,GPT-3.5,"[64.8, 100]",Gemini-1.5-Flash-2024-05,2024-05-10,$0.13,0.19,79.0
MMLU,GPT-3.5,"[64.8, 100]",Llama-3.1-Instruct-8B,2024-07-23,$0.10,0.11,71.0
MMLU,GPT-3.5,"[64.8, 100]",Gemini-1.5-Flash-8B,2024-10-03,$0.07,0.06,75.0
MMLU,GPT-3.5 Turbo,"[68.0, 100]",GPT-3.5 Turbo,2023-03-06,$2.00,2.59,68.0
